function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,2.110,5296128.000,5,0,shasum,0,1.000,0.073,18489344.000,1,0,cows,30,1.000,4.603,14585856.000,5,0,116.080,109.880,12051627349.333,12071301120.000,10,0
figlet,10,1.000,2.287,2850816.000,5,0,shasum,0,1.000,0.075,18489344.000,1,0,cows,30,0.999,2.725,6045696.000,5,0,131.760,116.283,12067571029.333,12043749034.667,10,0
figlet,10,1.000,1.307,4176896.000,1,0,shasum,0,1.000,0.092,18489344.000,1,0,cows,30,1.000,3.253,5636096.000,1,0,106.480,103.167,12043502250.667,12036526762.667,10,0
figlet,10,1.000,1.429,3746304.000,1,0,shasum,0,1.000,0.068,18489344.000,1,0,cows,40,1.000,4.800,16312832.000,1,0,110.080,117.158,12028022101.333,12042586624.000,10,0
figlet,10,1.000,2.224,4182016.000,1,0,shasum,0,1.000,0.079,18489344.000,1,0,cows,40,1.000,4.871,16452096.000,1,0,141.440,118.384,12035398314.667,12044017322.667,10,0
figlet,10,1.000,2.193,4134912.000,1,0,shasum,0,1.000,0.081,18489344.000,1,0,cows,40,1.000,3.616,17145856.000,1,0,127.760,146.640,12061037226.667,12099986090.667,10,0
figlet,10,1.000,2.358,2830336.000,5,0,shasum,0,1.000,0.070,18489344.000,1,0,cows,50,1.000,5.328,5468160.000,5,0,135.520,125.530,12051782997.333,12056136362.667,10,0
figlet,10,1.000,1.880,3268608.000,5,0,shasum,0,1.000,0.082,18490880.000,1,0,cows,50,1.000,6.747,11112448.000,5,0,124.640,116.840,12071697749.333,12058275669.333,10,0
figlet,10,1.000,2.429,5014528.000,1,0,shasum,0,1.000,0.082,18493440.000,1,0,cows,50,1.000,5.125,11112448.000,1,0,118.080,110.673,12064096938.667,12043484160.000,10,0
figlet,10,1.000,1.850,3800064.000,1,0,shasum,10,1.000,1.021,18571264.000,1,0,cows,0,1.000,3.866,5496832.000,1,0,129.120,108.500,12021808469.333,12041191253.333,10,0
figlet,10,1.000,1.812,4516352.000,1,0,shasum,10,1.000,1.451,3507541.333,1,0,cows,0,1.000,0.074,90267648.000,1,0,100.520,92.480,12021460309.333,12035500714.667,10,0
figlet,10,1.000,2.317,3022848.000,1,0,shasum,10,1.000,1.636,3835904.000,1,0,cows,0,1.000,0.093,90270720.000,1,0,119.640,126.721,12035938304.000,12084735829.333,10,0
figlet,10,1.000,2.128,4099072.000,1,0,shasum,10,1.000,0.895,18651648.000,1,0,cows,10,1.000,1.270,4820992.000,1,0,139.200,109.407,12029258410.667,12022626645.333,10,0
figlet,10,1.000,2.423,4956160.000,1,0,shasum,10,1.000,1.533,3696128.000,1,0,cows,10,1.000,1.823,14180352.000,1,0,130.320,122.350,12056939178.667,12077016917.333,10,0
figlet,10,1.000,2.227,3794432.000,1,0,shasum,10,1.000,1.142,4290560.000,1,0,cows,10,1.000,1.264,13340672.000,1,0,134.240,121.865,12069167786.667,12085840896.000,10,0
figlet,10,1.000,1.744,4657152.000,5,0,shasum,10,1.000,1.390,18501290.667,5,0,cows,20,1.000,1.906,20164608.000,5,0,167.559,136.513,12079334741.333,12093621418.667,10,0
figlet,10,1.000,1.871,3495936.000,5,0,shasum,10,1.000,1.424,18546176.000,5,0,cows,20,1.000,3.049,16011264.000,5,0,122.040,126.393,12104605013.333,12101905578.667,10,0
figlet,10,1.000,1.772,3990869.333,5,0,shasum,10,1.000,1.703,3059712.000,5,0,cows,20,1.000,3.121,6447104.000,5,0,132.000,125.844,12106123946.667,12110431573.333,10,0
figlet,10,1.000,1.644,3141632.000,5,0,shasum,10,1.000,1.618,3145728.000,5,0,cows,30,1.000,3.922,5345280.000,5,0,142.600,139.021,12107211434.667,12106293418.667,10,0
figlet,10,1.000,1.948,4104192.000,5,0,shasum,10,1.000,1.313,3970048.000,5,0,cows,30,1.000,9.924,8617301.333,13,0,129.440,147.755,12108922197.333,12219816960.000,10,0
figlet,10,1.000,1.645,3817472.000,5,0,shasum,10,1.000,1.194,3162112.000,5,0,cows,30,1.000,9.001,23432704.000,20,1,152.080,156.390,12360593408.000,12485750272.000,10,1
figlet,10,1.000,1.707,3572394.667,5,0,shasum,20,1.000,1.951,3561472.000,5,0,cows,0,1.000,2.159,25409536.000,1,0,158.680,136.144,12627782997.333,12441038506.667,20,0
figlet,10,1.000,1.902,2736128.000,5,0,shasum,20,1.000,3.240,3985635.556,13,0,cows,0,1.000,0.110,91884032.000,1,0,108.320,117.822,12160108544.000,12215547904.000,10,0
figlet,10,1.000,1.541,3051520.000,1,0,shasum,20,1.000,2.438,6794752.000,5,0,cows,0,1.000,0.098,91941034.667,1,0,141.520,142.092,12319797248.000,12355575808.000,20,0
figlet,10,1.000,1.943,4071424.000,1,0,shasum,20,1.000,2.948,3333120.000,13,0,cows,10,1.000,0.592,91907584.000,1,0,148.387,124.981,12180602880.000,12255677269.333,10,0
figlet,10,1.000,1.055,3741184.000,1,0,shasum,20,1.000,2.111,5422080.000,5,0,cows,10,1.000,1.276,20383061.333,1,0,146.160,141.181,12362562901.333,12383473664.000,20,0
