function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,2.366,3581440.000,1,0,nodeinfo,0,1.000,0.131,50493440.000,1,0,env,20,1.000,2.750,4038656.000,1,0,156.320,137.740,10441712298.667,10455709866.667,10,0
figlet,10,1.000,2.088,4915200.000,1,0,nodeinfo,0,1.000,0.128,50506752.000,1,0,env,20,1.000,2.962,3215360.000,1,0,167.923,172.181,10451873109.333,10504082773.333,10,0
figlet,10,1.000,2.306,3979264.000,5,0,nodeinfo,0,1.000,0.133,50496341.333,1,0,env,20,1.000,1.873,4525056.000,5,0,165.114,154.849,10494568448.000,10470329856.000,10,0
figlet,10,1.000,2.529,4532736.000,5,0,nodeinfo,0,1.000,0.139,50491904.000,1,0,env,30,1.000,4.246,15326208.000,5,0,164.280,155.598,10451803477.333,10464091306.667,10,0
figlet,10,1.000,2.642,3668650.667,5,0,nodeinfo,0,1.000,0.122,50505216.000,1,0,env,30,1.000,5.120,2711552.000,5,0,168.400,157.231,10460280149.333,10474434389.333,10,0
figlet,10,1.000,2.431,3536384.000,5,0,nodeinfo,0,1.000,0.112,50550784.000,1,0,env,30,1.000,3.938,5133312.000,13,0,164.320,166.541,10471619242.667,10524140885.333,10,0
figlet,10,1.000,2.347,2686976.000,5,0,nodeinfo,0,1.000,0.129,50627584.000,1,0,env,40,1.000,5.989,8487424.000,20,1,153.280,157.486,10602640725.333,10663817557.333,10,1
figlet,10,1.000,1.737,3014656.000,5,0,nodeinfo,0,1.000,0.122,50781013.333,1,0,env,40,1.000,5.301,8848725.333,5,0,161.880,160.958,10747565397.333,10710624085.333,20,0
figlet,10,1.000,2.121,3547136.000,1,0,nodeinfo,0,1.000,0.119,50782378.667,1,0,env,40,1.000,5.189,3723264.000,9,0,179.840,162.986,10522698410.667,10575626922.667,10,0
figlet,10,1.000,2.192,3960832.000,1,0,nodeinfo,0,1.000,0.117,50741077.333,1,0,env,50,1.000,7.457,8054442.667,17,1,157.200,162.906,10614881621.333,10683158016.000,10,1
figlet,10,1.000,1.771,3469312.000,5,0,nodeinfo,0,1.000,0.126,50860032.000,1,0,env,50,1.000,4.011,8643072.000,5,0,173.720,179.346,10783764480.000,10694818474.667,20,0
figlet,10,1.000,2.578,4268032.000,5,0,nodeinfo,0,1.000,0.141,50971136.000,1,0,env,50,1.000,6.945,4673536.000,5,0,186.858,172.980,10504082773.333,10530588672.000,10,0
figlet,10,1.000,2.393,3999744.000,1,0,nodeinfo,10,1.000,0.657,51699200.000,1,0,env,0,1.000,0.794,3832320.000,1,0,164.920,137.320,10523037696.000,10530853546.667,10,0
figlet,10,1.000,2.040,5455872.000,1,0,nodeinfo,10,1.000,2.031,5648384.000,1,0,env,0,1.000,0.086,15273984.000,1,0,156.615,141.716,10508079104.000,10548331690.667,10,0
figlet,10,1.000,2.308,3047424.000,1,0,nodeinfo,10,1.000,3.609,5160960.000,1,0,env,0,1.000,0.084,15273984.000,1,0,143.040,169.023,10537056256.000,10614028458.667,10,0
figlet,10,1.000,1.960,3358720.000,1,0,nodeinfo,10,1.000,2.832,12924928.000,1,0,env,10,1.000,1.047,15273984.000,1,0,167.600,143.229,10554758485.333,10555914069.333,10,0
figlet,10,1.000,1.887,4947968.000,1,0,nodeinfo,10,1.000,2.170,6000640.000,1,0,env,10,1.000,1.616,3125248.000,1,0,158.040,159.538,10524923904.000,10580206933.333,10,0
figlet,10,1.000,2.540,3705856.000,5,0,nodeinfo,10,1.000,3.118,20288853.333,5,0,env,10,1.000,1.565,3993600.000,5,0,172.440,162.044,10589063850.667,10607330133.333,10,0
figlet,10,1.000,1.712,4141056.000,5,0,nodeinfo,10,1.000,1.548,7303168.000,5,0,env,20,1.000,2.885,4573184.000,5,0,180.869,171.840,10583881728.000,10602743978.667,10,0
figlet,10,1.000,2.235,3653632.000,5,0,nodeinfo,10,1.000,1.960,7581696.000,5,0,env,20,1.000,2.421,3923968.000,5,0,191.200,181.886,10583307605.333,10603228842.667,10,0
figlet,10,1.000,2.106,3684352.000,5,0,nodeinfo,10,1.000,1.794,7045120.000,5,0,env,20,1.000,2.995,4603904.000,13,0,184.120,184.040,10600056149.333,10650978816.000,10,0
figlet,10,1.000,2.477,3420160.000,1,0,nodeinfo,10,1.000,2.237,20135936.000,1,0,env,30,1.000,4.530,4381696.000,17,1,184.824,195.735,10730130773.333,10805197653.333,10,1
figlet,10,1.000,1.839,3826688.000,1,0,nodeinfo,10,1.000,1.392,7139328.000,1,0,env,30,1.000,3.190,3634688.000,5,0,212.160,193.401,10838074709.333,10824348160.000,20,0
figlet,10,1.000,1.728,3827712.000,1,0,nodeinfo,10,1.000,2.481,7643136.000,1,0,env,30,1.000,4.807,2621440.000,13,0,209.438,206.959,10597128192.000,10655774720.000,10,0
figlet,10,1.000,1.748,3153920.000,1,0,nodeinfo,10,1.000,1.715,5902336.000,1,0,env,40,1.000,4.922,5805226.667,5,0,193.120,184.864,10751301632.000,10784898901.333,20,0
figlet,10,1.000,2.308,2838528.000,1,0,nodeinfo,10,1.000,2.517,7118848.000,1,0,env,40,1.000,5.736,4311040.000,13,0,220.746,239.671,10625570133.333,10685909845.333,10,0
figlet,10,1.000,1.835,3653632.000,1,0,nodeinfo,10,1.000,1.473,5582848.000,1,0,env,40,1.000,4.069,3854336.000,1,0,217.692,195.890,10768566272.000,10792934741.333,20,0
figlet,10,1.000,2.489,3533482.667,1,0,nodeinfo,10,1.000,2.166,19521536.000,1,0,env,50,1.000,4.427,3395584.000,1,0,206.601,214.550,10611726336.000,10625019904.000,10,0
figlet,10,1.000,2.707,5259264.000,1,0,nodeinfo,10,1.000,2.274,6197248.000,1,0,env,50,1.000,6.763,5500928.000,1,0,212.280,188.907,10579178837.333,10611058517.333,10,0
figlet,10,1.000,2.164,4837376.000,1,0,nodeinfo,10,1.000,2.204,20193280.000,1,0,env,50,1.000,5.682,4012714.667,1,0,195.880,191.035,10573676544.000,10615639381.333,10,0
figlet,10,1.000,2.049,3466240.000,1,0,nodeinfo,20,1.000,2.850,5812224.000,1,0,env,0,1.000,3.028,3297280.000,1,0,195.360,180.551,10596861269.333,10570714282.667,10,0
figlet,10,1.000,2.881,4485120.000,1,0,nodeinfo,20,1.000,4.144,4980736.000,1,0,env,0,1.000,0.075,3788800.000,1,0,170.640,150.666,10460205056.000,10475788970.667,10,0
